"name","region","country","date","Value"
Confirmed Cases,East Asia & Pacific,Cambodia,2021-03-01 00:00:00,24.0000
Confirmed Cases,Sub-Saharan Africa,Cameroon,2021-03-01 00:00:00,0.0000
Confirmed Cases,North America,Canada,2021-03-01 00:00:00,3694.0000
Confirmed Cases,Sub-Saharan Africa,Central African Republic,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Chad,2021-03-01 00:00:00,13.0000
Confirmed Cases,Latin America & The Caribbean,Chile,2021-03-01 00:00:00,5145.0000
Confirmed Cases,East Asia & Pacific,China,2021-03-01 00:00:00,25.0000
Confirmed Cases,Latin America & The Caribbean,Colombia,2021-03-01 00:00:00,3570.0000
Confirmed Cases,Sub-Saharan Africa,Comoros,2021-03-01 00:00:00,7.0000
Confirmed Cases,Sub-Saharan Africa,Congo (Brazzaville),2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Congo (Kinshasa),2021-03-01 00:00:00,49.0000
Confirmed Cases,Latin America & The Caribbean,Costa Rica,2021-03-01 00:00:00,745.0000
Confirmed Cases,Sub-Saharan Africa,Cote d'Ivoire,2021-03-01 00:00:00,37.0000
Confirmed Cases,Europe & Central Asia,Croatia,2021-03-01 00:00:00,91.0000
Confirmed Cases,Latin America & The Caribbean,Cuba,2021-03-01 00:00:00,811.0000
Confirmed Cases,Europe & Central Asia,Cyprus,2021-03-01 00:00:00,302.0000
Confirmed Cases,Europe & Central Asia,Czechia,2021-03-01 00:00:00,4571.0000
Confirmed Cases,Europe & Central Asia,Denmark,2021-03-01 00:00:00,497.0000
Confirmed Cases,Middle East & North Africa,Djibouti,2021-03-01 00:00:00,21.0000
Confirmed Cases,Latin America & The Caribbean,Dominica,2021-03-01 00:00:00,0.0000
Confirmed Cases,Latin America & The Caribbean,Dominican Republic,2021-03-01 00:00:00,381.0000
Confirmed Cases,Latin America & The Caribbean,Ecuador,2021-03-01 00:00:00,212.0000
Confirmed Cases,Middle East & North Africa,Egypt,2021-03-01 00:00:00,586.0000
Confirmed Cases,Latin America & The Caribbean,El Salvador,2021-03-01 00:00:00,0.0000
Confirmed Cases,Sub-Saharan Africa,Equatorial Guinea,2021-03-01 00:00:00,90.0000
Confirmed Cases,Sub-Saharan Africa,Eritrea,2021-03-01 00:00:00,19.0000
Confirmed Cases,Europe & Central Asia,Estonia,2021-03-01 00:00:00,1028.0000
Confirmed Cases,Sub-Saharan Africa,Eswatini,2021-03-01 00:00:00,11.0000
Confirmed Cases,Sub-Saharan Africa,Ethiopia,2021-03-01 00:00:00,900.0000
Confirmed Cases,East Asia & Pacific,Fiji,2021-03-01 00:00:00,0.0000
Confirmed Cases,Europe & Central Asia,Finland,2021-03-01 00:00:00,392.0000
Confirmed Cases,Europe & Central Asia,France,2021-03-01 00:00:00,4730.0000
Confirmed Cases,Sub-Saharan Africa,Gabon,2021-03-01 00:00:00,285.0000
Confirmed Cases,Sub-Saharan Africa,Gambia,2021-03-01 00:00:00,0.0000
Confirmed Cases,Europe & Central Asia,Georgia,2021-03-01 00:00:00,160.0000
Confirmed Cases,Europe & Central Asia,Germany,2021-03-01 00:00:00,5274.0000
Confirmed Cases,Sub-Saharan Africa,Ghana,2021-03-01 00:00:00,0.0000
